Source,Target,year
Central European Free Trade Agreement (CEFTA) , Accession of Slovenia,1995
Georgia , Ukraine,1995
Kyrgyz Republic , Moldova,1995
Estonia , Ukraine,1995
EFTA , Slovenia,1995
EU , Turkey,1995
Ukraine , Azerbaijan,1995
Russian Federation , Belarus ,1995
EU , Tunisia,1995
Armenia , Turkmenistan,1995
Bulgaria , Slovak Republic Free Trade Agreement,1995
EFTA , Latvia,1995
EFTA , Lithuania,1995
Kyrgyz Republic , Kazakhstan,1995
Georgia , Armenia,1995
EFTA , Estonia Free Trade Agreement,1995
Slovak Republic , Lithuania,1996
Slovak Republic , Estonia,1996
Slovak Republic , Israel,1996
Slovak Republic , Latvia,1996
Slovenia , Estonia,1996
Slovenia , Former Yugoslav Republic of Macedonia,1996
Slovenia , Latvia,1996
Southern African Development Community (SADC),Southern African Development Community (SADC),1996
Georgia , Azerbaijan,1996
Georgia , Turkmenistan,1996
EU , Morocco,1996
Kyrgyz Republic , Uzbekistan,1996
Eurasian Economic Community (EAEC),Eurasian Economic Community (EAEC),1996
Poland , Lithuania,1996
Slovenia , Lithuania,1996
Turkey , Israel,1996
EU , Faroe Islands,1996
Czech Republic , Lithuania,1996
Canada , Israel,1996
Czech Republic , Israel,1996
Czech Republic , Estonia,1996
Canada , Chile,1996
Czech Republic , Latvia,1996
EC , Slovenia Europe Agreement,1996
EC , Slovenia Interim Agreement,1996
Bulgaria , Slovenia,1996
Turkey , Lithuania,1997
Romania , Turkey,1997
Mexico , Nicaragua,1997
Slovak Republic , Turkey,1997
EU , Palestinian Authority,1997
Poland , Latvia,1997
Slovenia , Croatia,1997
Croatia , Former Yugoslav Republic of Macedonia,1997
Turkey , Estonia,1997
Central European Free Trade Agreement (CEFTA) , Accession of Romania,1997
Hungary , Israel,1997
EFTA , Morocco,1997
Czech Republic , Turkey,1997
Estonia , Faeroe Islands,1997
Georgia , Kazakhstan,1997
EU , Jordan,1997
Hungary , Turkey,1997
Pan,Arab Free Trade Area (PAFTA),1997
EU , Mexico,1997
Central European Free Trade Agreement (CEFTA) , Accession of Bulgaria,1998
Bulgaria , Turkey,1998
EFTA , Palestinian Authority,1998
Slovenia , Israel,1998
Turkey , Slovenia,1998
Dominican Republic , Central America,1998
India , Sri Lanka,1998
Turkey , Latvia,1998
Chile , Mexico,1998
Hungary , Lithuania,1998
Hungary , Estonia,1998
Poland , Israel,1998
Poland , Faeroe Islands,1998
