Source,Target,Region Category
Australia , Chile,Oceania; South America
EFTA , Canada,North America; Europe
Canada , Colombia,North America; South America
EU ," Korea, Republic of",Europe; East Asia
Canada , Rep. of Korea,North America; East Asia
ASEAN ," Korea, Republic of",East Asia
Japan , Viet Nam,East Asia
Japan , Indonesia,East Asia
Gulf Cooperation Council (GCC),Gulf Cooperation Council (GCC),Middle East
India , Japan,West Asia; East Asia
Japan , Australia,Oceania; East Asia
ASEAN , Japan,East Asia
EFTA , Colombia,South America; Europe
EFTA , Peru,Europe; South America
Japan , Switzerland,East Asia; Europe
US , Peru,South America; North America
US , Panama,Central America; North America
US , Oman,Middle East; North America
"Korea, Republic of ", US,East Asia; North America
EU , Algeria,Africa; Europe
Malaysia , Australia,Oceania; East Asia
Pakistan , Malaysia,East Asia; West Asia
South Asian Free Trade Agreement (SAFTA),South Asian Free Trade Agreement (SAFTA),West Asia
Panama , Chile,South America; Central America
African Common Market,African Common Market,Africa
Albania , Bosnia and Herzegovina,Europe
Albania , Bulgaria,Europe
Albania , Former Yugoslav Republic of Macedonia,Europe
Albania , Moldova,Europe; Commonwealth of Independent States (CIS)
Albania , Romania,Europe
US , Bahrain,Middle East; North America
Albania , Serbia and Montenegro,Europe
Albania , UNMIC/Kosovo,Europe
Arab Common Market,Arab Common Market,Africa; Middle East
Arusha  Agreement,Arusha  Agreement,Europe; Africa
Australia , New Zealand Free Trade Agreement,Oceania
Borneo Free Trade Area,Borneo Free Trade Area,
Bulgaria , Bosnia and Herzegovina,Europe
Bulgaria , Estonia,Europe
Bulgaria , Former Yugoslav Republic of Macedonia,Europe
Bulgaria , Israel,Europe; Middle East
Costa Rica , Mexico,Central America; North America
Bulgaria , Latvia,Europe
Bulgaria , Lithuania,Europe
Bulgaria , Serbia and Montenegro,Europe
Bulgaria , Slovak Republic Free Trade Agreement,Europe
Bulgaria , Slovenia,Europe
Bulgaria , Turkey,Europe
Canada , US Free Trade Agreement (CUSFTA),North America
Caribbean Free Trade Association (CARIFTA),Caribbean Free Trade Association (CARIFTA),Caribbean; South America
Central American Free Trade Area,Central American Free Trade Area,Central America
Central European Free Trade Agreement (CEFTA),Central European Free Trade Agreement (CEFTA),Europe
EFTA ," Korea, Republic of",Europe; East Asia
Central European Free Trade Agreement (CEFTA) , Accession of Bulgaria,Europe
Central European Free Trade Agreement (CEFTA) , Accession of Romania,Europe
Central European Free Trade Agreement (CEFTA) , Accession of Slovenia,Europe
Croatia , Albania,Europe
Croatia , Bosnia and Herzegovina,Europe
Croatia , Former Yugoslav Republic of Macedonia,Europe
Croatia , Serbia and Montenegro,Europe
Czech Republic , Bulgaria Free Trade Agreement,Europe
Czech Republic , Estonia,Europe
Czech Republic , Israel,Europe; Middle East
Egypt , Turkey,Africa; Europe
Japan , Malaysia,East Asia
Czech Republic , Latvia,Europe
Czech Republic , Lithuania,Europe
Czech Republic , Romania Free Trade Agreement,Europe
Czech Republic , Slovak Republic Customs Union,Europe
Czech Republic , Slovenia,Europe
Czech Republic , Turkey,Europe
EC , Algeria,Africa; Europe
EC , Austria Agreement of 1972,Europe
EC , Bulgaria Europe Agreement,Europe
EC , Bulgaria Interim Agreement,Europe
Jordan , Singapore,Middle East; East Asia
EC , Cyprus Association Agreement,Europe
EC , Czech and Slovak Federal Republic Interim Agreement,Europe
EC , Czech Republic Europe Agreement,Europe
EC , Egypt Agreement of 1972,Europe; Africa
EC , Egypt Cooperation Agreement,Europe; Africa
EC , Estonia Agreement,Europe
EC , Faeroe Islands Agreement of 1992,Europe
EC , Finland Agreement,Europe
EC , Greece Additional Protocol,Europe
EEC , Greece Association Agreement,Europe
Mexico , Northern Triangle,Central America; North America
EC , Hungary Europe Agreement,Europe
EC , Hungary Interim Agreement of 1991,Europe
EC , Israel Agreement of 1970,Europe; Middle East
EC , Latvia Agreement,Europe
EC , Lebanon Cooperation Agreement,Europe; Middle East
EC , Lithuania,Europe
EC , Malta Association Agreement,Europe
EC , Morocco Association Agreement of 1969,Europe; Africa
EC , Poland Europe Agreement,Europe
EC , Poland Interim Agreement of 1991,Europe
Dominican Republic , Central America ,Central America; Caribbean; North America
EC , Portugal Agreement of 1972,Europe
EC , Romania Europe Agreement,Europe
EC , Romania Interim Agreement,Europe
EC , Slovak Republic Europe Agreement,Europe
EC , Slovenia Cooperation Agreement,Europe
EC , Slovenia Europe Agreement,Europe
EC , Slovenia Interim Agreement,Europe
EC , Spain Agreement of 1970,Europe
EC , Sweden Agreement,Europe
EC , Syria Interim Agreement of 1977,Europe
"Korea, Republic of ", Singapore,East Asia
EC , Tunisia Association Agreement of 1969,Europe; Africa
EC , Turkey Additional Protocol,Europe
EEC , Turkey Association Agreement of 1963,Europe
EC , Turkey Association Agreement of 1973,Europe
EFTA , Bulgaria,Europe
EFTA , Czechoslovakia,Europe
EFTA , Estonia Free Trade Agreement,Europe
EFTA , Hungary Agreement,Europe
EFTA , Latvia,Europe
EFTA , Lithuania,Europe
Turkey , Morocco,Africa; Europe
EFTA , Poland Agreement,Europe
EFTA , Romania Free Trade Agreement,Europe
EFTA , Slovenia,Europe
EFTA , Spain Agreement,Europe
El Salvador , Nicaragua Free Trade Area,Central America
Equatorial Customs Union , Cameroon Association,Africa
Estonia , Faeroe Islands,Europe
Estonia , Latvia ,Europe
Estonia , Norway Free Trade Agreement,Europe
Estonia , Sweden Free Trade Agreement,Europe
US , Morocco,Africa; North America
Estonia , Switzerland Free Trade Agreement,Europe
Estonia , Ukraine,Europe; Commonwealth of Independent States (CIS)
Finland , Estonia Protocol,Europe
Finland , Latvia Protocol,Europe
Finland , Lithuania Protocol,Europe
Former Yugoslav Republic of Macedonia  , Bosnia and Herzegovina,Europe
Ghana , Upper Volta Trade Agreement,Africa
Gulf Cooperation Council (GCC),Gulf Cooperation Council (GCC),Middle East
Hungary , Estonia,Europe
Hungary , Israel,Europe; Middle East
Thailand , New Zealand,Oceania; East Asia
Hungary , Latvia,Europe
Hungary , Lithuania,Europe
Hungary , Slovenia Free Trade Agreement,Europe
Hungary , Turkey,Europe
Ireland , United Kingdom Free Trade Area,Europe
Latin American Free Trade Area (LAFTA),Latin American Free Trade Area (LAFTA),South America; North America
Latvia , Norway Free Trade Agreement,Europe
Latvia , Sweden Free Trade Agreement,Europe
Latvia , Switzerland Free Trade Agreement,Europe
Lithuania , Norway Free Trade Agreement,Europe
Mexico , Nicaragua,North America; Central America
Lithuania , Sweden Free Trade Agreement,Europe
Lithuania , Switzerland Free,Europe
Moldova , Bosnia and Herzegovina,Europe; Commonwealth of Independent States (CIS)
Moldova , Bulgaria,Europe; Commonwealth of Independent States (CIS)
Moldova , Croatia,Europe; Commonwealth of Independent States (CIS)
Moldova , Former Yugoslav Republic of Macedonia,Commonwealth of Independent States (CIS); Europe
Moldova , Serbia and Montenegro,Commonwealth of Independent States (CIS)
Poland , Faeroe Islands,Europe
Poland , Israel,Middle East; Europe
Poland , Latvia,Europe
EU , Chile,Europe; South America
Poland , Lithuania,Europe
Romania , Bosnia and Herzegovina,Europe
Romania , Former Yugoslav Republic of Macedonia,Europe
Romania , Israel,Middle East; Europe
Romania , Moldova,Commonwealth of Independent States (CIS); Europe
Romania , Serbia and Montenegro,Europe
Romania , Turkey,Europe
Slovak Republic , Estonia,Europe
Slovak Republic , Israel,Middle East; Europe
Slovak Republic , Latvia,Europe
Chile , Japan,South America; East Asia
Turkey , Palestinian Authority,Middle East; Europe
Slovak Republic , Lithuania,Europe
Slovak Republic , Romania Free Trade Agreement,Europe
Slovak Republic , Turkey,Europe
Slovenia , Bosnia and Herzegovina,Europe
Slovenia , Croatia,Europe
Slovenia , Estonia,Europe
Slovenia , Former Yugoslav Republic of Macedonia,Europe
Slovenia , Israel,Middle East; Europe
Slovenia , Latvia,Europe
Slovenia , Lithuania,Europe
Turkey , Tunisia,Africa; Europe
South Africa , Southern Rhodesia Customs Union,Africa
Turkey , Estonia,Europe
Turkey , Latvia,Europe
Turkey , Lithuania,Europe
Turkey , Poland,Europe
Turkey , Slovenia,Europe
Yaoundé I,Yaoundé I,Europe; Africa
Yaoundé II,Yaoundé II,Europe; Africa
First Convention of Lomé,First Convention of Lomé,Caribbean; Europe; Africa; Oceania; South America
Second Convention of Lomé,Second Convention of Lomé,Caribbean; Europe; Africa; Oceania; South America
Economic Community of West African States (ECOWAS),Economic Community of West African States (ECOWAS),Africa
Third Convention of Lomé,Third Convention of Lomé,Caribbean; Africa; Oceania; Europe; South America
Panama  , Dominican Republic,Caribbean; Central America
EU , San Marino,Europe
India , Afghanistan,West Asia
India , Nepal,West Asia
Guatemala , Chinese Taipei,East Asia; Central America
Panama , Chinese Taipei,East Asia; Central America
ASEAN , Australia ,Oceania; East Asia
ASEAN , India,East Asia; West Asia
Chile , Malaysia,South America; East Asia
EFTA , Tunisia,Europe; Africa
Iceland , China,East Asia; Europe
EFTA , GCC,Middle East; Europe
EU , Eastern and Southern Africa States Interim EPA,Europe; Africa
"Hong Kong, China ", New Zealand,East Asia; Oceania
New Zealand , Malaysia,East Asia; Oceania
Peru , Singapore,South America; East Asia
China , Singapore,East Asia
Turkey , Jordan,Middle East; Europe
Chile , Colombia,South America
Peru , Chile,South America
Japan , Mexico,East Asia; North America
MERCOSUR , India,South America; West Asia
El Salvador, Honduras ,East Asia; Central America
US , Colombia,South America; North America
"Korea, Republic of ", Australia,Oceania; East Asia
Turkey , Chile,South America; Europe
India , Malaysia,West Asia; East Asia
Turkey , Albania,Europe
Pakistan , Sri Lanka,West Asia
India , Bhutan,West Asia
EU , Bosnia and Herzegovina,Europe
Panama , Central America,Central America
Iceland , Faroe Islands,Europe
Brunei Darussalam , Japan,East Asia
Canada , Jordan,North America; Middle East
Ukraine , Azerbaijan,Commonwealth of Independent States (CIS)
Ukraine , Belarus,Commonwealth of Independent States (CIS)
Ukraine , Kazakhstan,Commonwealth of Independent States (CIS)
Ukraine , Former Yugoslav Republic of Macedonia,Europe; Commonwealth of Independent States (CIS)
Ukraine , Moldova,Commonwealth of Independent States (CIS)
Ukraine , Tajikistan,Commonwealth of Independent States (CIS)
Ukraine ,Turkmenistan,Commonwealth of Independent States (CIS)
Thailand , Australia,Oceania; East Asia
Ukraine , Uzbekistan,Commonwealth of Independent States (CIS)
Common Economic Zone (CEZ),Common Economic Zone (CEZ),Commonwealth of Independent States (CIS)
Ukraine , Russian Federation,Commonwealth of Independent States (CIS)
Pacific Island Countries Trade Agreement (PICTA),Pacific Island Countries Trade Agreement (PICTA),Oceania
Agadir Agreement,Agadir Agreement,Africa; Middle East
EFTA , Albania,Europe
EFTA , Serbia,Europe
EFTA , Ukraine,Europe; Commonwealth of Independent States (CIS)
EU , CARIFORUM States EPA,Caribbean; Europe; Central America; South America
Canada , Panama,North America; Central America
US , Australia,Oceania; North America
GUAM,GUAM,Commonwealth of Independent States (CIS)
EFTA , SACU,Africa; Europe
Japan , Philippines,East Asia
EU , Côte d'Ivoire,Europe; Africa
Chile , India,South America; West Asia
Turkey , Serbia,Europe
Switzerland , China,East Asia; Europe
Turkey , Georgia,Commonwealth of Independent States (CIS); Europe
Mauritius , Pakistan,Africa; West Asia
Rep. of Korea , New Zealand,East Asia; Oceania
ASEAN , China,East Asia
Peru ," Korea, Republic of",East Asia; South America
Colombia , Mexico,South America; North America
Mexico , Uruguay,North America; South America
Peru , Mexico,North America; South America
China , New Zealand,East Asia; Oceania
Peru , China,East Asia; South America
Nicaragua , Chinese Taipei,East Asia; Central America
Canada , Peru,North America; South America
EU , Central America,Europe; Central America
China , Costa Rica,East Asia; Central America
EFTA , Chile,South America; Europe
Costa Rica , Singapore,Central America; East Asia
EU , Cameroon,Europe; Africa
EU , Ukraine,Europe; Commonwealth of Independent States (CIS)
Chile , Viet Nam,South America; East Asia
EFTA ," Hong Kong, China",East Asia; Europe
EU , Colombia and Peru,Europe; South America
Canada , Ukraine,North America; Commonwealth of Independent States (CIS)
"Korea, Republic of ",  Colombia,South America; East Asia
China , Rep. of Korea,East Asia
"Korea, Republic of ", Turkey,East Asia; Europe
Central European Free Trade Agreement (CEFTA) 2006,Central European Free Trade Agreement (CEFTA) 2006,Europe; Commonwealth of Independent States (CIS)
EU , Egypt,Europe; Africa
Turkey , Montenegro,Europe
Rep. of Korea , Viet Nam,East Asia
EU , Serbia,Europe
The Cross,Straits Economic Cooperation Framework Agreement (ECFA),East Asia
"Korea, Republic of ", India,West Asia; East Asia
EFTA , Bosnia and Herzegovina,Europe
Costa Rica , Peru,Central America; South America
Panama , Peru,Central America; South America
"Hong Kong, China ", Chile,South America; East Asia
Southern Common Market (MERCOSUR) , Southern African Customs Union (SACU),South America; Africa
Southern African Development Community (SADC),Southern African Development Community (SADC),Africa
Colombia ," Northern Triangle (El Salvador, Guatemala, Honduras)",South America; Central America
EU , Papua New Guinea / Fiji,Europe; Oceania
Japan , Peru,East Asia; South America
Treaty on a Free Trade Area between members of the Commonwealth of Independent States (CIS),Treaty on a Free Trade Area between members of the Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
Dominican Republic , Central America,Central America; Caribbean
EFTA , Montenegro,Europe
EFTA , Central America (Costa Rica and Panama),Central America; Europe
Mexico , Panama,North America; Central America
Turkey , Mauritius,Africa; Europe
Turkey , Malaysia,East Asia; Europe
Armenia , Turkmenistan,Commonwealth of Independent States (CIS)
Russian Federation , Belarus,Commonwealth of Independent States (CIS)
Russian Federation , Republic of Moldova,Commonwealth of Independent States (CIS)
Russian Federation , Azerbaijan,Commonwealth of Independent States (CIS)
Russian Federation , Kazakhstan,Commonwealth of Independent States (CIS)
Russian Federation , Tajikistan,Commonwealth of Independent States (CIS)
Japan , Mongolia,East Asia
East African Community (EAC) , Accession of Burundi and Rwanda,Africa
EU , Georgia,Europe; Commonwealth of Independent States (CIS)
EU , Rep. of  Moldova,Europe; Commonwealth of Independent States (CIS)
Russian Federation , Belarus ,Commonwealth of Independent States (CIS)
Armenia , Russian Federation,Commonwealth of Independent States (CIS)
Russian Federation , Serbia,Commonwealth of Independent States (CIS); Europe
Russian Federation , Uzbekistan,Commonwealth of Independent States (CIS)
Russian Federation , Turkmenistan,Commonwealth of Independent States (CIS)
Mexico , Central America,Central America; North America
Ukraine , Montenegro,Europe; Commonwealth of Independent States (CIS)
India , Thailand,West Asia; East Asia
New Zealand , Chinese Taipei,East Asia; Oceania
El Salvador , Cuba,Caribbean; Central America
Pacific Alliance,Pacific Alliance,South America; North America
Singapore , Chinese Taipei,East Asia
Armenia , Moldova,Commonwealth of Independent States (CIS)
Eurasian Economic Union (EAEU),Eurasian Economic Union (EAEU),Commonwealth of Independent States (CIS)
Eurasian Economic Union (EAEU) , Accession of Armenia,Commonwealth of Independent States (CIS)
Canada , Honduras,North America; Central America
Gulf Cooperation Council (GCC) , Singapore,Middle East; East Asia
Eurasian Economic Union (EAEU) , Accession of the Kyrgyz Republic,Commonwealth of Independent States (CIS)
Turkey ," Moldova, Republic of",Commonwealth of Independent States (CIS); Europe
EFTA , Philippines,Europe; East Asia
Eurasian Economic Union (EAEU) , Viet Nam,Commonwealth of Independent States (CIS); East Asia
EU , Ghana,Europe; Africa
Trans,Pacific Partnership,East Asia; North America; South America
Armenia , Kazakhstan,Commonwealth of Independent States (CIS)
Trans,Pacific Partnership,East Asia; North America; South America
Armenia , Ukraine,Commonwealth of Independent States (CIS)
"Korea, Republic of ", Chile,South America; East Asia
Central European Free Trade Agreement (CEFTA) , Accession of Croatia,Europe
Chile , Central America,South America; Central America
EFTA , Egypt,Africa; Europe
China ," Macao, China",East Asia
China ," Hong Kong, China",East Asia
US , Singapore,East Asia; North America
US , Chile,South America; North America
Singapore , Australia,Oceania; East Asia
Turkey , Bosnia and Herzegovina,Europe
Turkey , Croatia,Europe
EU , Lebanon,Europe; Middle East
EFTA , Singapore,Europe; East Asia
Canada , Costa Rica,North America; Central America
Southern African Customs Union (SACU),Southern African Customs Union (SACU),Africa
EU , Croatia,Europe
EU , Jordan,Europe; Middle East
Japan , Singapore,East Asia
US , Jordan,Middle East; North America
India , Sri Lanka,West Asia
EU , Mexico,Europe; North America
EFTA , Jordan,Europe; Middle East
EFTA , Croatia,Europe
EU , Former Yugoslav Republic of Macedonia,Europe
New Zealand , Singapore,Oceania; East Asia
Chile , China,South America; East Asia
EFTA , Mexico,Europe; North America
Chile , Mexico,South America; North America
Israel , Mexico,Middle East; North America
Georgia , Armenia,Commonwealth of Independent States (CIS)
Georgia , Azerbaijan,Commonwealth of Independent States (CIS)
Georgia , Kazakhstan,Commonwealth of Independent States (CIS)
Georgia , Russian Federation,Commonwealth of Independent States (CIS)
Georgia , Turkmenistan,Commonwealth of Independent States (CIS)
Georgia , Ukraine,Commonwealth of Independent States (CIS)
EFTA , Former Yugoslav Republic of Macedonia,Europe
Trans,Pacific Strategic Economic Partnership,East Asia; South America; Oceania
Turkey , Former Yugoslav Republic of Macedonia,Europe
Kyrgyz Republic , Armenia,Commonwealth of Independent States (CIS)
EU , South Africa,Europe; Africa
EU , Morocco,Europe; Africa
EU , Israel,Europe; Middle East
East African Community (EAC),East African Community (EAC),Africa
Economic and Monetary Community of Central Africa (CEMAC),Economic and Monetary Community of Central Africa (CEMAC),Africa
EFTA , Morocco,Europe; Africa
West African Economic and Monetary Union (WAEMU),West African Economic and Monetary Union (WAEMU),Africa
Melanesian Spearhead Group (MSG),Melanesian Spearhead Group (MSG),Oceania
India , Singapore,West Asia; East Asia
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
Kyrgyz Republic , Kazakhstan,Commonwealth of Independent States (CIS)
EFTA , Palestinian Authority,Europe; Middle East
Kyrgyz Republic , Moldova,Commonwealth of Independent States (CIS)
Kyrgyz Republic , Russian Federation,Commonwealth of Independent States (CIS)
Kyrgyz Republic , Ukraine,Commonwealth of Independent States (CIS)
Kyrgyz Republic , Uzbekistan,Commonwealth of Independent States (CIS)
Eurasian Economic Community (EAEC),Eurasian Economic Community (EAEC),Commonwealth of Independent States (CIS)
EU , Tunisia,Europe; Africa
Turkey , Israel,Middle East; Europe
