Source,Target
Central American Free Trade Area,Central American Free Trade Area
Central European Free Trade Agreement (CEFTA),Central European Free Trade Agreement (CEFTA)
EFTA ," Korea, Republic of"
Central European Free Trade Agreement (CEFTA) , Accession of Bulgaria
Central European Free Trade Agreement (CEFTA) , Accession of Romania
Central European Free Trade Agreement (CEFTA) , Accession of Slovenia
Croatia , Albania
Croatia , Bosnia and Herzegovina
Croatia , Former Yugoslav Republic of Macedonia
Croatia , Serbia and Montenegro
Czech Republic , Bulgaria Free Trade Agreement
Czech Republic , Estonia
Czech Republic , Israel
Egypt , Turkey
Japan , Malaysia
Czech Republic , Latvia
Czech Republic , Lithuania
Czech Republic , Romania Free Trade Agreement
Czech Republic , Slovak Republic Customs Union
Czech Republic , Slovenia
Czech Republic , Turkey
EC , Algeria
EC , Austria Agreement of 1972
EC , Bulgaria Europe Agreement
EC , Bulgaria Interim Agreement
Jordan , Singapore
EC , Cyprus Association Agreement
EC , Czech and Slovak Federal Republic Interim Agreement
EC , Czech Republic Europe Agreement
EC , Egypt Agreement of 1972
EC , Egypt Cooperation Agreement
EC , Estonia Agreement
EC , Faeroe Islands Agreement of 1992
EC , Finland Agreement
EC , Greece Additional Protocol
EEC , Greece Association Agreement
Mexico , Northern Triangle
EC , Hungary Europe Agreement
EC , Hungary Interim Agreement of 1991
EC , Israel Agreement of 1970
EC , Latvia Agreement
EC , Lebanon Cooperation Agreement
EC , Lithuania
EC , Malta Association Agreement
EC , Morocco Association Agreement of 1969
EC , Poland Europe Agreement
EC , Poland Interim Agreement of 1991
Dominican Republic , Central America 
EC , Portugal Agreement of 1972
EC , Romania Europe Agreement
EC , Romania Interim Agreement
EC , Slovak Republic Europe Agreement
EC , Slovenia Cooperation Agreement
EC , Slovenia Europe Agreement
EC , Slovenia Interim Agreement
EC , Spain Agreement of 1970
EC , Sweden Agreement
EC , Syria Interim Agreement of 1977
"Korea, Republic of ", Singapore
EC , Tunisia Association Agreement of 1969
EC , Turkey Additional Protocol
EEC , Turkey Association Agreement of 1963
EC , Turkey Association Agreement of 1973
EFTA , Bulgaria
EFTA , Czechoslovakia
EFTA , Estonia Free Trade Agreement
EFTA , Hungary Agreement
EFTA , Latvia
EFTA , Lithuania
Turkey , Morocco
EFTA , Poland Agreement
EFTA , Romania Free Trade Agreement
EFTA , Slovenia
EFTA , Spain Agreement
El Salvador , Nicaragua Free Trade Area
Equatorial Customs Union , Cameroon Association
Estonia , Faeroe Islands
Estonia , Latvia 
Estonia , Norway Free Trade Agreement
Estonia , Sweden Free Trade Agreement
US , Morocco
Estonia , Switzerland Free Trade Agreement
Estonia , Ukraine
Finland , Estonia Protocol
Finland , Latvia Protocol
Finland , Lithuania Protocol
Former Yugoslav Republic of Macedonia  , Bosnia and Herzegovina
Ghana , Upper Volta Trade Agreement
Gulf Cooperation Council (GCC),Gulf Cooperation Council (GCC)
Hungary , Estonia
Hungary , Israel
Thailand , New Zealand
Hungary , Latvia
Hungary , Lithuania
Hungary , Slovenia Free Trade Agreement
Hungary , Turkey
Ireland , United Kingdom Free Trade Area
Latin American Free Trade Area (LAFTA),Latin American Free Trade Area (LAFTA)
Latvia , Norway Free Trade Agreement
Latvia , Sweden Free Trade Agreement
Latvia , Switzerland Free Trade Agreement
Lithuania , Norway Free Trade Agreement
Mexico , Nicaragua
Lithuania , Sweden Free Trade Agreement
Lithuania , Switzerland Free
Moldova , Bosnia and Herzegovina
Moldova , Bulgaria
Moldova , Croatia
Moldova , Former Yugoslav Republic of Macedonia
Moldova , Serbia and Montenegro
Poland , Faeroe Islands
Poland , Israel
Poland , Latvia
EU , Chile
Poland , Lithuania
Romania , Bosnia and Herzegovina
Romania , Former Yugoslav Republic of Macedonia
Romania , Israel
Romania , Moldova
Romania , Serbia and Montenegro
Romania , Turkey
Slovak Republic , Estonia
Slovak Republic , Israel
Slovak Republic , Latvia
Chile , Japan
Turkey , Palestinian Authority
Slovak Republic , Lithuania
Slovak Republic , Romania Free Trade Agreement
Slovak Republic , Turkey
Slovenia , Bosnia and Herzegovina
Slovenia , Croatia
Slovenia , Estonia
Slovenia , Former Yugoslav Republic of Macedonia
Slovenia , Israel
Slovenia , Latvia
Slovenia , Lithuania
Turkey , Tunisia
South Africa , Southern Rhodesia Customs Union
Turkey , Estonia
Turkey , Latvia
Turkey , Lithuania
Turkey , Poland
Turkey , Slovenia
Yaoundé I,Yaoundé I
Yaoundé II,Yaoundé II
First Convention of Lomé,First Convention of Lomé
Second Convention of Lomé,Second Convention of Lomé
Economic Community of West African States (ECOWAS),Economic Community of West African States (ECOWAS)
Third Convention of Lomé,Third Convention of Lomé
Panama  , Dominican Republic
EU , San Marino
India , Afghanistan
India , Nepal
Guatemala , Chinese Taipei
Panama , Chinese Taipei
ASEAN , Australia 
ASEAN , India
Chile , Malaysia
EFTA , Tunisia
Iceland , China
EFTA , GCC
EU , Eastern and Southern Africa States Interim EPA
"Hong Kong, China ", New Zealand
New Zealand , Malaysia
Peru , Singapore
China , Singapore
Turkey , Jordan
Chile , Colombia
Peru , Chile
Japan , Mexico
MERCOSUR , India
El Salvador, Honduras 
US , Colombia
"Korea, Republic of ", Australia
Turkey , Chile
India , Malaysia
Turkey , Albania
Pakistan , Sri Lanka
India , Bhutan
EU , Bosnia and Herzegovina
Panama , Central America
Iceland , Faroe Islands
Brunei Darussalam , Japan
Canada , Jordan
Ukraine , Azerbaijan
Ukraine , Belarus
Ukraine , Kazakhstan
Ukraine , Former Yugoslav Republic of Macedonia
Ukraine , Moldova
Ukraine , Tajikistan
Ukraine ,Turkmenistan
Thailand , Australia
Ukraine , Uzbekistan
Common Economic Zone (CEZ),Common Economic Zone (CEZ)
Ukraine , Russian Federation
Pacific Island Countries Trade Agreement (PICTA),Pacific Island Countries Trade Agreement (PICTA)
Agadir Agreement,Agadir Agreement
EFTA , Albania
EFTA , Serbia
EFTA , Ukraine
EU , CARIFORUM States EPA
Canada , Panama
US , Australia
GUAM,GUAM
EFTA , SACU
Japan , Philippines
EU , Côte d'Ivoire
Chile , India
Turkey , Serbia
Switzerland , China
Turkey , Georgia
Mauritius , Pakistan
Rep. of Korea , New Zealand
ASEAN , China
Peru ," Korea, Republic of"
Colombia , Mexico
Mexico , Uruguay
Peru , Mexico
China , New Zealand
Peru , China
Nicaragua , Chinese Taipei
Canada , Peru
EU , Central America
China , Costa Rica
EFTA , Chile
Costa Rica , Singapore
EU , Cameroon
EU , Ukraine
Chile , Viet Nam
EFTA ," Hong Kong, China"
EU , Colombia and Peru
Canada , Ukraine
"Korea, Republic of ",  Colombia
China , Rep. of Korea
"Korea, Republic of ", Turkey
Central European Free Trade Agreement (CEFTA) 2006,Central European Free Trade Agreement (CEFTA) 2006
EU , Egypt
Turkey , Montenegro
Rep. of Korea , Viet Nam
EU , Serbia
The Cross,Straits Economic Cooperation Framework Agreement (ECFA)
"Korea, Republic of ", India
EFTA , Bosnia and Herzegovina
Costa Rica , Peru
Panama , Peru
"Hong Kong, China ", Chile
Southern Common Market (MERCOSUR) , Southern African Customs Union (SACU)
Southern African Development Community (SADC),Southern African Development Community (SADC)
Colombia ," Northern Triangle (El Salvador, Guatemala, Honduras)"
EU , Papua New Guinea / Fiji
Japan , Peru
Treaty on a Free Trade Area between members of the Commonwealth of Independent States (CIS),Treaty on a Free Trade Area between members of the Commonwealth of Independent States (CIS)
Dominican Republic , Central America
EFTA , Montenegro
EFTA , Central America (Costa Rica and Panama)
Mexico , Panama
Turkey , Mauritius
Turkey , Malaysia
Armenia , Turkmenistan
Russian Federation , Belarus
Russian Federation , Republic of Moldova
Russian Federation , Azerbaijan
Russian Federation , Kazakhstan
Russian Federation , Tajikistan
Japan , Mongolia
East African Community (EAC) , Accession of Burundi and Rwanda
EU , Georgia
EU , Rep. of  Moldova
Russian Federation , Belarus 
Armenia , Russian Federation
Russian Federation , Serbia
Russian Federation , Uzbekistan
Russian Federation , Turkmenistan
Mexico , Central America
Ukraine , Montenegro
India , Thailand
New Zealand , Chinese Taipei
El Salvador , Cuba
Pacific Alliance,Pacific Alliance
Singapore , Chinese Taipei
Armenia , Moldova
Eurasian Economic Union (EAEU),Eurasian Economic Union (EAEU)
Eurasian Economic Union (EAEU) , Accession of Armenia
Canada , Honduras
Gulf Cooperation Council (GCC) , Singapore
Eurasian Economic Union (EAEU) , Accession of the Kyrgyz Republic
Turkey ," Moldova, Republic of"
EFTA , Philippines
Eurasian Economic Union (EAEU) , Viet Nam
EU , Ghana
Trans,Pacific Partnership
Armenia , Kazakhstan
Trans,Pacific Partnership
Armenia , Ukraine
"Korea, Republic of ", Chile
Central European Free Trade Agreement (CEFTA) , Accession of Croatia
Chile , Central America
EFTA , Egypt
China ," Macao, China"
China ," Hong Kong, China"
US , Singapore
US , Chile
Singapore , Australia
Turkey , Bosnia and Herzegovina
Turkey , Croatia
EU , Lebanon
EFTA , Singapore
Canada , Costa Rica
Southern African Customs Union (SACU),Southern African Customs Union (SACU)
EU , Croatia
EU , Jordan
Japan , Singapore
US , Jordan
India , Sri Lanka
EU , Mexico
EFTA , Jordan
EFTA , Croatia
EU , Former Yugoslav Republic of Macedonia
New Zealand , Singapore
Chile , China
EFTA , Mexico
Chile , Mexico
Israel , Mexico
Georgia , Armenia
Georgia , Azerbaijan
Georgia , Kazakhstan
Georgia , Russian Federation
Georgia , Turkmenistan
Georgia , Ukraine
EFTA , Former Yugoslav Republic of Macedonia
Trans,Pacific Strategic Economic Partnership
Turkey , Former Yugoslav Republic of Macedonia
Kyrgyz Republic , Armenia
EU , South Africa
EU , Morocco
EU , Israel
East African Community (EAC),East African Community (EAC)
Economic and Monetary Community of Central Africa (CEMAC),Economic and Monetary Community of Central Africa (CEMAC)
EFTA , Morocco
West African Economic and Monetary Union (WAEMU),West African Economic and Monetary Union (WAEMU)
Melanesian Spearhead Group (MSG),Melanesian Spearhead Group (MSG)
India , Singapore
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS)
Kyrgyz Republic , Kazakhstan
EFTA , Palestinian Authority
Kyrgyz Republic , Moldova
Kyrgyz Republic , Russian Federation
Kyrgyz Republic , Ukraine
Kyrgyz Republic , Uzbekistan
Eurasian Economic Community (EAEC),Eurasian Economic Community (EAEC)
EU , Tunisia
Turkey , Israel
