Source,Target,year
EFTA , Romania Free Trade Agreement,1992
EFTA , Slovenia,1995
EFTA , Spain Agreement,1979
El Salvador , Nicaragua Free Trade Area,1951
Equatorial Customs Union , Cameroon Association,1959
Estonia , Faeroe Islands,1997
Estonia , Latvia ,1993
Estonia , Norway Free Trade Agreement,1992
Estonia , Sweden Free Trade Agreement,1992
US , Morocco,2004
Estonia , Switzerland Free Trade Agreement,1992
Estonia , Ukraine,1995
Finland , Estonia Protocol,1992
Finland , Latvia Protocol,1992
Finland , Lithuania Protocol,1992
Former Yugoslav Republic of Macedonia  , Bosnia and Herzegovina,2002
Ghana , Upper Volta Trade Agreement,1961
Gulf Cooperation Council (GCC),Gulf Cooperation Council (GCC),1981
Hungary , Estonia,1998
Hungary , Israel,1997
Thailand , New Zealand,2005
Hungary , Latvia,1999
Hungary , Lithuania,1998
Hungary , Slovenia Free Trade Agreement,1994
Hungary , Turkey,1997
Ireland , United Kingdom Free Trade Area,1965
Latin American Free Trade Area (LAFTA),Latin American Free Trade Area (LAFTA),1960
Latvia , Norway Free Trade Agreement,1992
Latvia , Sweden Free Trade Agreement,1992
Latvia , Switzerland Free Trade Agreement,1992
Lithuania , Norway Free Trade Agreement,1992
Mexico , Nicaragua,1997
Lithuania , Sweden Free Trade Agreement,1992
Lithuania , Switzerland Free,1992
Moldova , Bosnia and Herzegovina,2002
Moldova , Bulgaria,2004
Moldova , Croatia,2004
Moldova , Former Yugoslav Republic of Macedonia,2004
Moldova , Serbia and Montenegro,2003
Poland , Faeroe Islands,1998
Poland , Israel,1998
Poland , Latvia,1997
EU , Chile,2002
Poland , Lithuania,1996
Romania , Bosnia and Herzegovina,2003
Romania , Former Yugoslav Republic of Macedonia,2003
Romania , Israel,2001
Romania , Moldova,1994
Romania , Serbia and Montenegro,2003
Romania , Turkey,1997
Slovak Republic , Estonia,1996
Slovak Republic , Israel,1996
Slovak Republic , Latvia,1996
Chile , Japan,2007
Turkey , Palestinian Authority,2004
Slovak Republic , Lithuania,1996
Slovak Republic , Romania Free Trade Agreement,1994
Slovak Republic , Turkey,1997
Slovenia , Bosnia and Herzegovina,2001
Slovenia , Croatia,1997
Slovenia , Estonia,1996
Slovenia , Former Yugoslav Republic of Macedonia,1996
Slovenia , Israel,1998
Slovenia , Latvia,1996
Slovenia , Lithuania,1996
Turkey , Tunisia,2004
South Africa , Southern Rhodesia Customs Union,1948
Turkey , Estonia,1997
Turkey , Latvia,1998
Turkey , Lithuania,1997
Turkey , Poland,1999
Turkey , Slovenia,1998
Yaoundé I,Yaoundé I,1963
Yaoundé II,Yaoundé II,1969
First Convention of Lomé,First Convention of Lomé,1975
Second Convention of Lomé,Second Convention of Lomé,1979
Economic Community of West African States (ECOWAS),Economic Community of West African States (ECOWAS),1993
Third Convention of Lomé,Third Convention of Lomé,1984
Panama  , Dominican Republic,1985
EU , San Marino,1991
India , Afghanistan,2003
India , Nepal,2009
Guatemala , Chinese Taipei,2005
Panama , Chinese Taipei,2003
ASEAN , Australia ,2009
ASEAN , India,2009
Chile , Malaysia,2010
EFTA , Tunisia,2004
Iceland , China,2013
EFTA , GCC,2009
EU , Eastern and Southern Africa States Interim EPA,2009
"Hong Kong, China ", New Zealand,2010
New Zealand , Malaysia,2009
Peru , Singapore,2008
China , Singapore,2008
Turkey , Jordan,2009
Chile , Colombia,2006
Peru , Chile,2006
Japan , Mexico,2004
MERCOSUR , India,2004
El Salvador, Honduras ,2007
US , Colombia,2006
"Korea, Republic of ", Australia,2014
Turkey , Chile,2009
India , Malaysia,2011
Turkey , Albania,2006
Pakistan , Sri Lanka,2002
India , Bhutan,2006
EU , Bosnia and Herzegovina,2008
Panama , Central America,2002
Iceland , Faroe Islands,2005
Brunei Darussalam , Japan,2007
Canada , Jordan,2009
Ukraine , Azerbaijan,1995
Ukraine , Belarus,1992
Ukraine , Kazakhstan,1994
Ukraine , Former Yugoslav Republic of Macedonia,2001
Ukraine , Moldova,2003
Ukraine , Tajikistan,2001
Ukraine ,Turkmenistan,1994
Thailand , Australia,2004
Ukraine , Uzbekistan,1994
Common Economic Zone (CEZ),Common Economic Zone (CEZ),2003
Ukraine , Russian Federation,1993
Pacific Island Countries Trade Agreement (PICTA),Pacific Island Countries Trade Agreement (PICTA),2001
Agadir Agreement,Agadir Agreement,2004
EFTA , Albania,2009
EFTA , Serbia,2009
EFTA , Ukraine,2010
EU , CARIFORUM States EPA,2008
Canada , Panama,2010
US , Australia,2004
GUAM,GUAM,2002
EFTA , SACU,2006
Japan , Philippines,2006
EU , Côte d'Ivoire,2008
Chile , India,2006
Turkey , Serbia,2009
Switzerland , China,2013
Turkey , Georgia,2007
Mauritius , Pakistan,2007
Rep. of Korea , New Zealand,2015
ASEAN , China,2004
Peru ," Korea, Republic of",2011
Colombia , Mexico,1994
Mexico , Uruguay,2003
Peru , Mexico,2011
China , New Zealand,2008
Peru , China,2009
Nicaragua , Chinese Taipei,2006
Canada , Peru,2008
EU , Central America,2012
China , Costa Rica,2010
EFTA , Chile,2003
Costa Rica , Singapore,2010
EU , Cameroon,2009
EU , Ukraine,2014
Chile , Viet Nam,2011
EFTA ," Hong Kong, China",2011
EU , Colombia and Peru,2012
Canada , Ukraine,2016
"Korea, Republic of ",  Colombia,2013
China , Rep. of Korea,2015
"Korea, Republic of ", Turkey,2012
Central European Free Trade Agreement (CEFTA) 2006,Central European Free Trade Agreement (CEFTA) 2006,2006
EU , Egypt,2001
Turkey , Montenegro,2008
Rep. of Korea , Viet Nam,2015
EU , Serbia,2008
The Cross,Straits Economic Cooperation Framework Agreement (ECFA),2010
"Korea, Republic of ", India,2009
EFTA , Bosnia and Herzegovina,2013
Costa Rica , Peru,2011
Panama , Peru,2011
"Hong Kong, China ", Chile,2012
Southern Common Market (MERCOSUR) , Southern African Customs Union (SACU),2008
Southern African Development Community (SADC),Southern African Development Community (SADC),1996
Colombia ," Northern Triangle (El Salvador, Guatemala, Honduras)",2007
EU , Papua New Guinea / Fiji,2009
Japan , Peru,2011
Treaty on a Free Trade Area between members of the Commonwealth of Independent States (CIS),Treaty on a Free Trade Area between members of the Commonwealth of Independent States (CIS),2011
Dominican Republic , Central America,1998
EFTA , Montenegro,2011
EFTA , Central America (Costa Rica and Panama),2013
Mexico , Panama,2014
Turkey , Mauritius,2011
Turkey , Malaysia,2014
Armenia , Turkmenistan,1995
Russian Federation , Belarus,1992
Russian Federation , Republic of Moldova,1993
Russian Federation , Azerbaijan,1992
Russian Federation , Kazakhstan,1992
Russian Federation , Tajikistan,1992
Japan , Mongolia,2015
East African Community (EAC) , Accession of Burundi and Rwanda,2007
EU , Georgia,2014
EU , Rep. of  Moldova,2014
Russian Federation , Belarus ,1995
Armenia , Russian Federation,1992
Russian Federation , Serbia,2000
Russian Federation , Uzbekistan,1992
Russian Federation , Turkmenistan,1992
Mexico , Central America,2011
Ukraine , Montenegro,2011
India , Thailand,2003
New Zealand , Chinese Taipei,2013
El Salvador , Cuba,2011
Pacific Alliance,Pacific Alliance,2014
Singapore , Chinese Taipei,2013
Armenia , Moldova,1993
Eurasian Economic Union (EAEU),Eurasian Economic Union (EAEU),2014
Eurasian Economic Union (EAEU) , Accession of Armenia,2014
Canada , Honduras,2013
Gulf Cooperation Council (GCC) , Singapore,2008
Eurasian Economic Union (EAEU) , Accession of the Kyrgyz Republic,2014
Turkey ," Moldova, Republic of",2014
EFTA , Philippines,2016
Eurasian Economic Union (EAEU) , Viet Nam,2015
EU , Ghana,2016
Trans,Pacific Partnership,2016
Armenia , Kazakhstan,1999
Trans,Pacific Partnership,2016
Armenia , Ukraine,1994
"Korea, Republic of ", Chile,2003
Central European Free Trade Agreement (CEFTA) , Accession of Croatia,2002
Chile , Central America,1999
EFTA , Egypt,2007
China ," Macao, China",2003
China ," Hong Kong, China",2003
US , Singapore,2003
US , Chile,2003
Singapore , Australia,2003
Turkey , Bosnia and Herzegovina,2002
Turkey , Croatia,2002
EU , Lebanon,2002
EFTA , Singapore,2002
Canada , Costa Rica,2001
Southern African Customs Union (SACU),Southern African Customs Union (SACU),2002
EU , Croatia,2001
EU , Jordan,1997
Japan , Singapore,2002
US , Jordan,2000
India , Sri Lanka,1998
EU , Mexico,1997
EFTA , Jordan,2001
EFTA , Croatia,2001
EU , Former Yugoslav Republic of Macedonia,2001
New Zealand , Singapore,2000
Chile , China,2005
EFTA , Mexico,2000
Chile , Mexico,1998
Israel , Mexico,2000
Georgia , Armenia,1995
Georgia , Azerbaijan,1996
Georgia , Kazakhstan,1997
Georgia , Russian Federation,1994
Georgia , Turkmenistan,1996
Georgia , Ukraine,1995
EFTA , Former Yugoslav Republic of Macedonia,2000
Trans,Pacific Strategic Economic Partnership,2005
Turkey , Former Yugoslav Republic of Macedonia,1999
Kyrgyz Republic , Armenia,1994
EU , South Africa,1999
EU , Morocco,1996
EU , Israel,1995
East African Community (EAC),East African Community (EAC),1999
Economic and Monetary Community of Central Africa (CEMAC),Economic and Monetary Community of Central Africa (CEMAC),1994
EFTA , Morocco,1997
West African Economic and Monetary Union (WAEMU),West African Economic and Monetary Union (WAEMU),1994
Melanesian Spearhead Group (MSG),Melanesian Spearhead Group (MSG),1993
India , Singapore,2005
Commonwealth of Independent States (CIS),Commonwealth of Independent States (CIS),1994
Kyrgyz Republic , Kazakhstan,1995
EFTA , Palestinian Authority,1998
Kyrgyz Republic , Moldova,1995
Kyrgyz Republic , Russian Federation,1992
Kyrgyz Republic , Ukraine,1995
Kyrgyz Republic , Uzbekistan,1996
Eurasian Economic Community (EAEC),Eurasian Economic Community (EAEC),1996
EU , Tunisia,1995
Turkey , Israel,1996
